diseaseId,disease_mention,geneId,gene_mention,pmid,raw_sentence,associationType
OMIM:217000,falcipain-2,113452,CAC1,28003005,"With the biochemical characterization of four falcipains so far, FP-2 (falcipain-2) and FP-3 (falcipain-3), members of the papain-like CAC1 family, are essential haemoglobinases.",Negative
MESH:D006944,hyperglycemic,283,ANG,28003212,"We next investigated the effects of glucose by incubating and recording neurons in either hypoglycemic, normoglycemic, or hyperglycemic conditions and comparing the proportions of responses to ANG (n = 55) or CCK (n = 83) application in each condition.",Negative
MESH:D006944,hyperglycemic,885,CCK,28003212,"We next investigated the effects of glucose by incubating and recording neurons in either hypoglycemic, normoglycemic, or hyperglycemic conditions and comparing the proportions of responses to ANG (n = 55) or CCK (n = 83) application in each condition.",Negative
MESH:D000544,Alzheimer's disease,16183,Interleukin-2,28003243,Interleukin-2 (IL-2)-deficient mice have cytoarchitectural hippocampal modifications and impaired learning and memory ability reminiscent of Alzheimer's disease.,Negative
MESH:D003072,impaired learning and memory ability,16183,Interleukin-2,28003243,Interleukin-2 (IL-2)-deficient mice have cytoarchitectural hippocampal modifications and impaired learning and memory ability reminiscent of Alzheimer's disease.,Negative
MESH:D020961,DLB,2896,GRN,28003435,"In addition to known risk alleles in 349 brains (23.9% of 1461 undergoing exome sequencing), we saw an association between rare variants in GRN and DLB.",Negative
MESH:D007249,inflammation,396941,CD31,28002439,"Markers for tissue damage due to ROS (HNE), endothelial cell activation (CD31) and inflammation (IgG, C3b/c, C5b9, MCP-1) were assessed on tissue and/or in serum.",Negative
MESH:D017695,tissue damage,396941,CD31,28002439,"Markers for tissue damage due to ROS (HNE), endothelial cell activation (CD31) and inflammation (IgG, C3b/c, C5b9, MCP-1) were assessed on tissue and/or in serum.",Negative
MESH:D007249,inflammation,397422,MCP-1,28002439,"Markers for tissue damage due to ROS (HNE), endothelial cell activation (CD31) and inflammation (IgG, C3b/c, C5b9, MCP-1) were assessed on tissue and/or in serum.",Negative
MESH:D017695,tissue damage,397422,MCP-1,28002439,"Markers for tissue damage due to ROS (HNE), endothelial cell activation (CD31) and inflammation (IgG, C3b/c, C5b9, MCP-1) were assessed on tissue and/or in serum.",Negative
MESH:D012892,fragmentation,21926,TNF-a,28002460,"Consistently, in Caco-2 cells, metformin promoted claudin-3 and E-cadherin assembly and mitigated TNF-a-induced fragmentation of tight junction proteins.",Negative
MESH:D009069,impaired locomotor ability,36418,CG3814,28002605,"Knockdown of CG3814/LFG in Ddc-Gal4-expressing neurons resulted in a shortened lifespan and impaired locomotor ability, phenotypes that are strongly associated with the degeneration and loss of dopaminergic neurons.",Negative
MESH:C535903,LMS,5594,ERK,28002802,Silencing of RICTOR in LMS cells confirmed the role of mTORC2 in the regulation of ERK activity.,Negative
MESH:C535903,LMS,74343,mTORC2,28002802,Silencing of RICTOR in LMS cells confirmed the role of mTORC2 in the regulation of ERK activity.,Negative
MESH:D001265,athletes,5621,PRP,28002896,This randomized controlled trial aims to investigate the effect of intra-articular Hybrid Hyaluronic Acid injections compared to PRP for the treatment of cartilage lesions among athletes at the end of their career.,Negative
MESH:D008545,metastatic melanoma,22339,vascular endothelial growth factor,28003234,Fingolimod has been found to inhibit metastatic melanoma growth in a mouse model that depends on vascular endothelial growth factor (VEGF)-induced angiogenesis for metastasis.,Negative
MESH:D009362,metastasis,22339,vascular endothelial growth factor,28003234,Fingolimod has been found to inhibit metastatic melanoma growth in a mouse model that depends on vascular endothelial growth factor (VEGF)-induced angiogenesis for metastasis.,Negative
MESH:D008088,Lm infection,366,AQP9,28002492,"We identify 6 genes, including UNC93B1, MYD88, AQP9, and TRIM14 that potently inhibit Lm infection.",Negative
MESH:D008088,Lm infection,81622,UNC93B1,28002492,"We identify 6 genes, including UNC93B1, MYD88, AQP9, and TRIM14 that potently inhibit Lm infection.",Negative
MESH:D008088,Lm infection,9830,TRIM14,28002492,"We identify 6 genes, including UNC93B1, MYD88, AQP9, and TRIM14 that potently inhibit Lm infection.",Negative
MESH:D009369,cancer,12490;12494,CD3/4/8,28002791,CONCLUSIONS: Cinobufagin-induced local analgesic effect might be associated with increased activity of POMC/b-END/ -OR pathway released from invaded CD3/4/8 lymphocytes in cancer tissues.,Negative
MESH:D007020,corticotropin-releasing factor,16176,interleukin-1b,28002791,"On the last day, all mice were sacrificed and xenograft tissues homogenate and plasma levels of b-endorphin (b-END), corticotropin-releasing factor (CRF) and interleukin-1b (IL-1b) were assessed by ELISA assay.",Negative
MESH:D003677,SHOX deficiency,2688,growth hormone,28002818,BACKGROUND/AIMS: To assess auxological and safety data for growth hormone (GH)-treated children with SHOX deficiency.,Negative
MESH:D028361,mitochondrial structural deficits,83619,Nrf2,28002926,"Conclusion: Antioxidant defense systems of old rats were compromised by Nrf2 deficiency, which could lead to the deleterious accumulation and release of ROS and probably mitochondrial structural deficits in aged tongue tissues.",Negative
MESH:D001943,breast cancers,18708,PI3K,28003307,"Purpose: Metastatic breast cancers continue to elude current therapeutic strategies, including those utilizing PI3K inhibitors.",Negative
MESH:D015658,human immunodeficiency virus type 1,100616444,Env,28003492,Interactions between the gp120 and gp41 subunits of the human immunodeficiency virus type 1 (HIV-1) envelope glycoprotein (Env) trimer maintain the metastable unliganded form of the viral spike.,Negative
MESH:D015658,human immunodeficiency virus type 1,155971,gp120,28003492,Interactions between the gp120 and gp41 subunits of the human immunodeficiency virus type 1 (HIV-1) envelope glycoprotein (Env) trimer maintain the metastable unliganded form of the viral spike.,Negative
MESH:D009765,obesity,100861189,ghrelin,28003581,These results suggest that triterpenes may have the potential as obesity-preventing agents with suppressive effect on octanoylated ghrelin production.,Negative
MESH:D014085,migration,4854,Notch3,28004073,UNASSIGNED: The aim of this study is to investigate the effects of hypoxia inducible factor-2a (HIF-2a) and Notch3 on CoCl2-induced migration and invasion of human breast cancer cell line MCF-7.,Negative
MESH:D012892,VSD,24498,IL-6,28004351,"The stress  induced expression of inflammatory and immune response markers GFAP, TNFa, IL-6, OX-18 and OX-42 in VSD animals was found to be modulated by ASH-WEX.",Negative
MESH:D030342,autosomal recessive disorder,10560,SLC19A2,28004468,UNASSIGNED: Thiamine-responsive megaloblastic anemia (TRMA) is a rare autosomal recessive disorder caused by mutations in the SLC19A2 gene.,Negative
MESH:D009468,X-linked neuromuscular disease,11835,androgen receptor,28003546,Spinobulbar muscular atrophy (SBMA) is an X-linked neuromuscular disease caused by polyglutamine (polyQ) expansion in the androgen receptor (AR) gene.,Negative
MESH:D064420,toxicity,11835,AR,28003546,We report that cyclin-dependent kinase 2 (CDK2) phosphorylates polyQ-AR specifically at Ser<sup>96</sup>Phosphorylation of polyQ-AR by CDK2 increased protein stabilization and toxicity and is negatively regulated by the adenylyl cyclase (AC)/protein kinase A (PKA) signaling pathway.,Negative
MESH:D064420,toxicity,12566,cyclin-dependent kinase 2,28003546,We report that cyclin-dependent kinase 2 (CDK2) phosphorylates polyQ-AR specifically at Ser<sup>96</sup>Phosphorylation of polyQ-AR by CDK2 increased protein stabilization and toxicity and is negatively regulated by the adenylyl cyclase (AC)/protein kinase A (PKA) signaling pathway.,Negative
MESH:D017564,radiation-induced fibrosis,54509,RIF,28003769,The most severe complication of irradiation is extensive radiation-induced fibrosis (RIF).,Negative
MESH:D000860,hypoxic,29560,HIF-1a,28003810,This study was designed to investigate the effect of C-AR on synovial fibrosis from the aspects of hypoxic TGF-b1 and hypoxia-inducible transcription factor-1a (HIF-1a) induction.,Negative
MESH:D000860,hypoxic,59086,TGF-b1,28003810,This study was designed to investigate the effect of C-AR on synovial fibrosis from the aspects of hypoxic TGF-b1 and hypoxia-inducible transcription factor-1a (HIF-1a) induction.,Negative
MESH:D001168,arthritis,59086,TGF-b1,28003810,Low oxygen tension and transforming growth factor-b (TGF-b1) induction in the synovium contribute to fibrosis in arthritis.,Negative
MESH:D007249,inflammation,59086,TGF-b1,28003810,"In response to NLRP3 inflammasome activation, the released IL-1b further increased TGF-b1 induction, suggesting the forward cycle between inflammation and fibrosis in myofibroblast activation.",Negative
MESH:D028361,mitochondrial damage,293615,SIRT3,28003866,"Two members of the sirtuin family, SIRT1 and SIRT3, have been implicated in the reversal of mitochondrial damage.",Negative
MESH:D058186,acute kidney injury,309757,SIRT1/3,28003866,The aim of this study was to determine the role of SIRT1/3 in acute kidney injury (AKI) following sepsis in a septic rat model.,Negative
MESH:D058186,acute kidney injury,309757;293615,SIRT1/3,28003866,The aim of this study was to determine the role of SIRT1/3 in acute kidney injury (AKI) following sepsis in a septic rat model.,Negative
MESH:D000860,reactive oxygen species,27045,NIT-1,28004006,"Here we observed that atorvastatin (AS) can increase intracellular reactive oxygen species (ROS) and induce necrotic cell death and autophagy in NIT-1 cells, whereas pravastatin (PS) does not cause ROS and cell death but also induces autophagy.",Negative
MESH:D009336,necrotic,27045,NIT-1,28004006,"Here we observed that atorvastatin (AS) can increase intracellular reactive oxygen species (ROS) and induce necrotic cell death and autophagy in NIT-1 cells, whereas pravastatin (PS) does not cause ROS and cell death but also induces autophagy.",Negative
MESH:D000326,X-linked adrenoleukodystrophy,11666,ABCD1,28004277,"Here, we first identified an early activator of the UPR and investigated the role of a chronically activated UPR in the pathogenesis of X-linked adrenoleukodystrophy (X-ALD), a neurometabolic disorder that is caused by ABCD1 malfunction; ABCD1 transports very long-chain fatty acids (VLCFA) into peroxisomes.",Negative
MESH:D009369,tumor,117516,receptor activator of nuclear factor kappa B ligand,28004300,"OBJECTIVES: To study the effect of Wenhua Juanbi Recipe (, WJR) on expression of receptor activator of nuclear factor kappa B ligand (RANKL), osteoprotegerin (OPG), and tumor necrosis factor receptor superfamily member 14 (TNFRSF14, also known as LIGHT) in rats with collagen-induced arthritis (CIA).",Negative
OMIM:604588,mitosis,1436,CSF-1R,28004478,"CS2164 inhibited the angiogenesis-related kinases (VEGFR2, VEGFR1, VEGFR3, PDGFRa and c-Kit), mitosis-related kinase Aurora B and chronic inflammation-related kinase CSF-1R in a high potency manner with the IC50 at a single-digit nanomolar range.",Negative
OMIM:604588,mitosis,2321,VEGFR1,28004478,"CS2164 inhibited the angiogenesis-related kinases (VEGFR2, VEGFR1, VEGFR3, PDGFRa and c-Kit), mitosis-related kinase Aurora B and chronic inflammation-related kinase CSF-1R in a high potency manner with the IC50 at a single-digit nanomolar range.",Negative
OMIM:604588,mitosis,2324,VEGFR3,28004478,"CS2164 inhibited the angiogenesis-related kinases (VEGFR2, VEGFR1, VEGFR3, PDGFRa and c-Kit), mitosis-related kinase Aurora B and chronic inflammation-related kinase CSF-1R in a high potency manner with the IC50 at a single-digit nanomolar range.",Negative
OMIM:604588,mitosis,3791,VEGFR2,28004478,"CS2164 inhibited the angiogenesis-related kinases (VEGFR2, VEGFR1, VEGFR3, PDGFRa and c-Kit), mitosis-related kinase Aurora B and chronic inflammation-related kinase CSF-1R in a high potency manner with the IC50 at a single-digit nanomolar range.",Negative
OMIM:604588,mitosis,5156,PDGFRa,28004478,"CS2164 inhibited the angiogenesis-related kinases (VEGFR2, VEGFR1, VEGFR3, PDGFRa and c-Kit), mitosis-related kinase Aurora B and chronic inflammation-related kinase CSF-1R in a high potency manner with the IC50 at a single-digit nanomolar range.",Negative
OMIM:604588,mitosis,9212,Aurora B,28004478,"CS2164 inhibited the angiogenesis-related kinases (VEGFR2, VEGFR1, VEGFR3, PDGFRa and c-Kit), mitosis-related kinase Aurora B and chronic inflammation-related kinase CSF-1R in a high potency manner with the IC50 at a single-digit nanomolar range.",Negative
MESH:D008216,lymphocytic choriomeningitis virus,12504,CD4,28003483,"Here, we immunized mice with Ad5 vectors encoding lymphocytic choriomeningitis virus (LCMV) glycoprotein (GP) and examined GP-specific CD4 T cell responses elicited by Ad5 vectors and compared them to those induced by an acute LCMV infection.",Negative
MESH:D008216,lymphocytic choriomeningitis virus,920,CD4,28003483,"Here, we immunized mice with Ad5 vectors encoding lymphocytic choriomeningitis virus (LCMV) glycoprotein (GP) and examined GP-specific CD4 T cell responses elicited by Ad5 vectors and compared them to those induced by an acute LCMV infection.",Negative
MESH:D012607,ARC,287422,Per1,28003802,"The expression of Clock, Bmal1, Per1, Per2, Per3, Cry1, Cry2, Rev-erba, and Rora were assessed in SCN, PVN, and ARC hypothalamic nuclei by RT-PCR and calculated by the 2([-DeltaDeltaCT(Cyclethreshold)])(2(-    CT)) method.",Negative
MESH:D012607,ARC,29657,Bmal1,28003802,"The expression of Clock, Bmal1, Per1, Per2, Per3, Cry1, Cry2, Rev-erba, and Rora were assessed in SCN, PVN, and ARC hypothalamic nuclei by RT-PCR and calculated by the 2([-DeltaDeltaCT(Cyclethreshold)])(2(-    CT)) method.",Negative
MESH:D012607,ARC,63840,Per2,28003802,"The expression of Clock, Bmal1, Per1, Per2, Per3, Cry1, Cry2, Rev-erba, and Rora were assessed in SCN, PVN, and ARC hypothalamic nuclei by RT-PCR and calculated by the 2([-DeltaDeltaCT(Cyclethreshold)])(2(-    CT)) method.",Negative
MESH:D003920,DM,958072,Z=-3.937,28003972,The meiboscore was significantly higher in DM group compared with control group (Z=-3.937; P<0.001).,Negative
MESH:D002114,calcification,81633,Acta2,28004064,"The mRNA expression levels of osteogenic/chondrogenic regulatory factors (Cbfa1, Msx2, Osx, and Sox9), vascular smooth muscle cell (VSMC) lineage markers (SM22a and Acta2) and calcification inhibitors (Mgp and Opn) were detected by real-time PCR.",Negative
MESH:D065309,US,2197,Fau,28004102,A preliminary cost analysis shows that natural clay could be used as an alternative low cost adsorbent in the control of VOCs from contaminated gas streams with a cost of US  0.02 kg-1 compared to Fau Y zeolite with US  10 kg-1.,Negative
MESH:D009369,tumors,12937,CNR,28004770,"Intraperitoneal ovarian tumors (Hey-A8 or OVCAR3) in mice enhanced on MR two days after intravenous DM-Dual Gd-ICG injection compared to controls (SNR, CNR, p   <   0.05, n   =   6).",Negative
MESH:D010051,ovarian tumors,12937,CNR,28004770,"Intraperitoneal ovarian tumors (Hey-A8 or OVCAR3) in mice enhanced on MR two days after intravenous DM-Dual Gd-ICG injection compared to controls (SNR, CNR, p   <   0.05, n   =   6).",Negative
MESH:D009336,increased hepatocellular necrosis,25402,caspase-3,28004974,"Specifically, increased hepatocellular necrosis and caspase-3-dependent apoptosis were observed.",Negative
MESH:D010518,periodontitis,4585,mucin 4,28005264,We recently reported mucin 4 (MUC4) and matrix metalloproteinase 7 (MMP7) as highly associated with periodontitis in gingival tissue biopsies.,Negative
MESH:D013203,MRSA,6765,ST8,28005521,Two of the three veterinarian MRSA belonged to epidemic livestock-associated MRSA clonal lineages (ST398 and ST8) previously associated with high transmission potential between animals and humans.,Negative
MESH:D007239,infections,6765,ST8,28005521,"RESULTS: Approximately half of the isolates belonged to well-described clonal lineages, ST1, ST5, ST8, ST45 and ST59, that have previously been associated with severe infections and increased patient mortality.",Negative
MESH:D009362,cancer invasion,13163,Daxx,28004751,"Under hypoxic conditions, stabilized hypoxia-inducible factor (HIF)-1a downregulates Daxx expression and promotes cancer invasion, whereas re-expression of Daxx represses hypoxia-induced cancer invasion.",Negative
MESH:D009369,cancer,13163,Daxx,28004751,"Under hypoxic conditions, stabilized hypoxia-inducible factor (HIF)-1a downregulates Daxx expression and promotes cancer invasion, whereas re-expression of Daxx represses hypoxia-induced cancer invasion.",Negative
MESH:D009362,cancer invasion,15251,hypoxia-inducible factor (HIF)-1a,28004751,"Under hypoxic conditions, stabilized hypoxia-inducible factor (HIF)-1a downregulates Daxx expression and promotes cancer invasion, whereas re-expression of Daxx represses hypoxia-induced cancer invasion.",Negative
MESH:D009369,cancer,15251,hypoxia-inducible factor (HIF)-1a,28004751,"Under hypoxic conditions, stabilized hypoxia-inducible factor (HIF)-1a downregulates Daxx expression and promotes cancer invasion, whereas re-expression of Daxx represses hypoxia-induced cancer invasion.",Negative
MESH:D008175,lung cancer,20583,Slug,28004751,Daxx also suppresses Slug-mediated lung cancer metastasis in an orthotopic lung metastasis mouse model.,Negative
MESH:D009362,metastasis,20583,Slug,28004751,Daxx also suppresses Slug-mediated lung cancer metastasis in an orthotopic lung metastasis mouse model.,Negative
MESH:D009369,cancer,20583,Slug,28004751,Daxx also suppresses Slug-mediated lung cancer metastasis in an orthotopic lung metastasis mouse model.,Negative
MESH:D009362,cancer cell invasion,433759,HDAC1,28004751,Our results support that Daxx can act as a repressor in controlling HIF-1a/HDAC1/Slug-mediated cancer cell invasion and is a potential therapeutic target for inhibition of cancer metastasis.,Negative
MESH:D009369,cancer,433759,HDAC1,28004751,Our results support that Daxx can act as a repressor in controlling HIF-1a/HDAC1/Slug-mediated cancer cell invasion and is a potential therapeutic target for inhibition of cancer metastasis.,Negative
MESH:D016393,B-lymphomas,21929,A20,28004928,"One of these peptides, 11, was shown to induce complete tumor regression and protective immunity following intralesional treatment of murine A20 B-lymphomas.",Negative
MESH:D016582,feline leukemia virus,207,AKT1,28005210,"We report a novel feline leukemia virus (FeLV), designated ""FeLV-AKT"", that has captured feline c-AKT1 in feline lymphoma.",Negative
MESH:D015658,human immunodeficiency virus type 1,155971,glycoprotein 120,28005232,It is widely accepted that human immunodeficiency virus type 1 (HIV-1) envelope glycoprotein 120 (gp120) plays an important role in HIV-1-induced neural injury and pathogenesis of HIV-1-associated dementia (HAND).,Negative
MESH:D020258,neurotoxicity,155971,gp120,28005232,"Multiple pathways have been proposed for gp120-induced neurotoxicity, amongst is the activation of N-Methyl-D-Aspartate receptors (NMDARs).",Negative
MESH:D001424,bacterial infection,12504,CD4,28004776,"To study the T cell-specific function of A20 in bacterial infection, we infected T cell-specific A20 knockout (CD4-Cre A20(fl/fl)) and control mice with Listeria monocytogenes.",Negative
MESH:D001424,bacterial infection,21929,A20,28004776,"To study the T cell-specific function of A20 in bacterial infection, we infected T cell-specific A20 knockout (CD4-Cre A20(fl/fl)) and control mice with Listeria monocytogenes.",Negative
MESH:D009369,tumor,21929,A20,28004776,"UNASSIGNED: The ubiquitin-modifying enzyme A20, an important negative feedback regulator of NF-kB, impairs the expansion of tumor-specific CD8(+) T cells but augments the proliferation of autoimmune CD4(+) T cells.",Negative
MESH:D014842,haemostatic protein von Willebrand,7450,VWF,28004844,"Biogenesis of the WPB occurs at the Golgi apparatus in a process that is dependent on the main component of the WPB, the haemostatic protein von Willebrand Factor (VWF).",Negative
MESH:C535504,submucosal layers,309135,Ano1,28004965,"After 120 days, preparations of the jejunal muscular and submucosal layers were immunostained for Ano1 to visualize ICC.",Negative
MESH:D002607,Charcot-Marie-Tooth disease,6305,CMT4B3,28005197,Biallelic mutations in the SBF1 gene have been identified in one family with demyelinating Charcot-Marie-Tooth disease (CMT4B3) and two families with axonal neuropathy and additional neurological and skeletal features.,Negative
MESH:D017674,Hypophosphatemia,64654,fibroblast growth factor 23,28005411,"Hypophosphatemia in ARHR results from increased circulating levels of the phosphaturic hormone, fibroblast growth factor 23 (FGF23).",Negative
MESH:D012552,schistosomiasis,246744,STH,28005901,BACKGROUND: Spatial modelling of STH and schistosomiasis epidemiology is now commonplace.,Negative
MESH:D008545,Melanoma,100422982,miR-4286,28005927,"Melanoma cells were transfected with miR-4286 inhibitor to evaluate the influence of this microRNA on the viability, proliferation, apoptosis, migration, and invasion of melanoma cells.",Negative
MESH:D018805,sepsis,16452,Janus kinase 2,28006751,"Mechanistically, miR-375 could target Janus kinase 2 (JAK2) and further impaired signal transducer and activator of transcription 3 (STAT3) in sepsis Gr1+CD11b+ MDSC.",Negative
MESH:D018805,sepsis,20848,signal transducer and activator of transcription 3,28006751,"Mechanistically, miR-375 could target Janus kinase 2 (JAK2) and further impaired signal transducer and activator of transcription 3 (STAT3) in sepsis Gr1+CD11b+ MDSC.",Negative
MESH:D018805,sepsis,723900,miR-375,28006751,"Here, the functions and mechanisms of miR-375 in sepsis were revealed.",Negative
MESH:D007249,inflammation,24186,albumin,28006753,"Since cachexia is known to produce severe inflammation, malnutrition and inhibition of albumin gene expression, we have also monitored the total proteins, albumin, TNF-a and IL-6 levels in arthritic rats and its modulation by agmatine.",Negative
MESH:D044342,malnutrition,24186,albumin,28006753,"Since cachexia is known to produce severe inflammation, malnutrition and inhibition of albumin gene expression, we have also monitored the total proteins, albumin, TNF-a and IL-6 levels in arthritic rats and its modulation by agmatine.",Negative
MESH:D007249,inflammation,24835,TNF-a,28006753,"Since cachexia is known to produce severe inflammation, malnutrition and inhibition of albumin gene expression, we have also monitored the total proteins, albumin, TNF-a and IL-6 levels in arthritic rats and its modulation by agmatine.",Negative
MESH:D001168,arthritis,24835,TNF-a,28006753,"In addition, agmatine restored total protein and albumin and reduces TNF-a and IL-6 levels in arthritis rats.",Negative
MESH:D044342,malnutrition,24835,TNF-a,28006753,"Since cachexia is known to produce severe inflammation, malnutrition and inhibition of albumin gene expression, we have also monitored the total proteins, albumin, TNF-a and IL-6 levels in arthritic rats and its modulation by agmatine.",Negative
MESH:C538191,DMF,3162,heme oxygenase-1,28006954,"Furthermore, DMF treatment upregulated the Nrf-2 pathway, increased NeuN<sup>+</sup>/Nrf-2<sup>+</sup>cell number in the striatum, induced activation of manganese superoxide dismutase and heme oxygenase-1, and regulated glutathione levels.",Negative
MESH:C564145,HBD,3040,Hb A2,28007020,"RESULTS: The GCT   >   GTT missense mutation, underlying Hb A2 Episkopi, HBD:c.428C   >   T, introduces a cd142 codon change in the mature protein, resulting in reduced normal Hb A2 amounts and a novel, less abundant Hb A2 variant (HGVS: HBD:p.A143V), detectable as a delayed peak by CE-HPLC.",Negative
MESH:D029424,chronic obstructive pulmonary disease,260431,COPD,28005831,METHODS: We determined whether complications in patients undergoing moderate sedation bronchoscopy differ in those without obstruction compared with chronic obstructive pulmonary disease (COPD).,Negative
MESH:D058499,IRD,132320,SCLT1,28005958,"Notably, WES unveiled four new candidates for non-syndromic IRD: SEMA6B, CEP78, CEP250, SCLT1, the two latter previously associated to syndromic disorders.",Negative
MESH:D030342,syndromic disorders,132320,SCLT1,28005958,"Notably, WES unveiled four new candidates for non-syndromic IRD: SEMA6B, CEP78, CEP250, SCLT1, the two latter previously associated to syndromic disorders.",Negative
MESH:D058499,IRD,84131,CEP78,28005958,"Notably, WES unveiled four new candidates for non-syndromic IRD: SEMA6B, CEP78, CEP250, SCLT1, the two latter previously associated to syndromic disorders.",Negative
MESH:D030342,syndromic disorders,84131,CEP78,28005958,"Notably, WES unveiled four new candidates for non-syndromic IRD: SEMA6B, CEP78, CEP250, SCLT1, the two latter previously associated to syndromic disorders.",Negative
MESH:D058499,IRD,10501,SEMA6B,28005958,"Notably, WES unveiled four new candidates for non-syndromic IRD: SEMA6B, CEP78, CEP250, SCLT1, the two latter previously associated to syndromic disorders.",Negative
MESH:D030342,syndromic disorders,10501,SEMA6B,28005958,"Notably, WES unveiled four new candidates for non-syndromic IRD: SEMA6B, CEP78, CEP250, SCLT1, the two latter previously associated to syndromic disorders.",Negative
